Original,Mapped
BIN_TO_BCD,hyohezWx
BITBAND,cNCMbZQE
BITBAND_GET,vcaBXhoN
BITBAND_RST,OvtlfTSP
BITBAND_SET,vzHPcLKx
BIT_ADDR,llqmEsch
BMSPower_B12V,SkUICaDG
BMSPower_B24V,yFfjUdFU
BMSPower_C12V,eBgQhFRB
BMSPower_C24V,lkhOrlSd
BMSTaskInit,UhNvSchq
BMSTaskMain,ZprLOYvn
BMS_CAN_ADDR,QBeskXnu
BMS_DEVICE_TYPE_GB2011,gtWCQHrx
BMS_DEVICE_TYPE_GB2015,FaKUlQWX
BMS_DEVICE_TYPE_PT,JqAEVaqr
BMS_DEVICE_TYPE_PT_OR_GB,kiTQqMTC
BMS_FRAME_TIMEOUT_TYPE,ZKQnFRZQ
BMS_GB_2015_TYPE_NEW,rRFVFItN
BMS_GB_2015_TYPE_SC,fdKPVrOc
BMS_GB_PT_COMBINED,TTiMnNbd
BMS_OFFSET_CUR,eSYUmaWQ
BMS_PF_TYPE,pPRyiXSk
BMS_STOP_CAUSE_BRO_ABS,xXIwCGav
BMS_STOP_CAUSE_BSM_CHARGER_ALLOW_TIMEOUT,IARZpzRK
BMS_STOP_CAUSE_CHARGE_STARTUP_TIMEOUT_CRM,ugYeSJtV
BMS_STOP_CAUSE_RECV_BCL_TIMEOUT,jyTBnQjV
BMS_STOP_CAUSE_RECV_BCP_TIMEOUT,ryDVUXiZ
BMS_STOP_CAUSE_RECV_BCS_TIMEOUT,YelpVDOm
BMS_STOP_CAUSE_RECV_BEM_FRAME,YZPvVvjU
BMS_STOP_CAUSE_RECV_BRM_TIMEOUT,eluddspI
BMS_STOP_CAUSE_RECV_BRO_TIMEOUT,ylsxKmgi
BMS_STOP_CAUSE_RECV_BSM_TIMEOUT,rTSGKeqK
BMS_STOP_CAUSE_RECV_BST_0_00,XxsfKcLu
BMS_STOP_CAUSE_RECV_BST_0_02,vUdPeBDz
BMS_STOP_CAUSE_RECV_BST_0_04,qapTqfyF
BMS_STOP_CAUSE_RECV_BST_0_06,WHltBFlC
BMS_STOP_CAUSE_RECV_BST_1_00,WkAQlYkH
BMS_STOP_CAUSE_RECV_BST_1_02,PBwCcMWE
BMS_STOP_CAUSE_RECV_BST_1_04,TjdQCQmS
BMS_STOP_CAUSE_RECV_BST_1_06,WAbVizOA
BMS_STOP_CAUSE_RECV_BST_2_00,RrvDwnzy
BMS_STOP_CAUSE_RECV_BST_2_02,ZqjiwmIt
BMS_STOP_CAUSE_RECV_BST_2_04,DiYwuTiv
BMS_STOP_CAUSE_RECV_BST_2_06,lSGmErOk
BMS_STOP_CAUSE_RECV_BST_3_00,cVrEbJSS
BMS_STOP_CAUSE_RECV_BST_3_02,eNarFoQd
BMS_STOP_CAUSE_RECV_BST_OHTER,rxCcWmRu
BMS_STOP_CAUSE_RECV_BST_TIMEOUT,JUTxHlJj
BMS_TIME_UNIT,gyWwxnjH
BMS_TYPE,OxdpciaS
BMS_VERSION_CHM,wrJWHvTe
BOARD_ADDR_MAX,JETcdWAL
BOARD_MAIN,txeRWNon
BOOL_FALSE,MJVAVDhB
BOOL_TRUE,AYFJsqgp
BPortVol_300V,ljdrWLQj
BPortVol_600V,LLGmIoAE
BPortVol_700V,Farigxqn
BRM_FRAME_TIMEOUT,xAbQAhcl
BRM_VIN,qYnwgnfN
BRO_FRAME_TIMEOUT,IjchsOQJ
BSD_FRAME_TIMEOUT,VAdGqmDS
BSM_FRAME_TIMEOUT,HVYSzPrj
BST_FRAME_TIMEOUT,MprrCIBE
B_MeterDlt,xaMFLjVn
BclFrameData,rFlzCdCW
BcmFrameData,pomxnTck
BcpFrameData,EhGMVVGU
BcsFrameData,VpPshJUD
BemFrameData,pMjiwOWV
BhmFrameData,trOGTlsq
BmsCemFrameStruct,CULyoNHf
BmsComInternalData,mWfojIJT
BmsData,BZDnUwbD
BmsDevice,ucxXVjOA
BmsExternalData,DLMucMPC
BmsFrameData,RbkCTtTn
BmsFrameStruct,LWAikGbt
BmtFrameData,PtMEmGvn
BmvFrameData,BMyZMKJO
BoardAddr,tBXMWDKR
Boot_Ver,PaPKFJIC
Breaker,CrSEHnjQ
BrmFrameData,futdrJUw
BroFrameData,TqMwNTpx
BsdFrameData,gKXRcfyH
BsmFrameData,VZSKVbcC
BstFrameData,jJVXUwry
CAN1_Recieve,dtTHgCtq
CAN1_Transmit,KPJwFDmP
CAN2_Recieve,YJpGefWo
CAN2_Transmit,PTHsGNUd
CAN3_Recieve,UOoHulzg
CAN3_TIME_UNIT,vQqOKDiE
CAN_2U_ID_UNION,abdLxjeC
CAN_GWS_ID_UNION,TGpqEwJq
CAN_ID_EXT,PlkOjtLb
CAN_ID_STD,jlmRmCiA
CAN_MOD_UPDATE_RX,YiXupDFH
CAN_MOD_UPDATE_TX,WZxluCrL
CAN_RTR_DATA,iovZrvxp
CAN_RTR_REMOTE,jnVofjnN
CAN_Sys_ID_UNION,NPHekgKP
CAN_TP_CM_RTS,BloyKCOq
CAN_TP_DT_RTS,UAtglEmO
CAN_TxHeaderTypeDef,JWsVmoOp
CC1_bak,lwxhLpNv
CC_REBOOT_BUSY,wTxXMyqW
CC_REBOOT_BUSY_ALL,epMJDkBM
CHARGER_STATE_AXLOCK,RyyJHvpK
CHARGER_STATE_AXOPEN,odlRAQFi
CHARGER_STATE_CHARGING,BtzUloki
CHARGER_STATE_CHG_DISCHARGE,StkpojBU
CHARGER_STATE_END,adkWfQED
CHARGER_STATE_END_SAVE,pHZfeBRS
CHARGER_STATE_GB_CONFIG,kZZQZlGu
CHARGER_STATE_GUNLOCK,fQKjYGJI
CHARGER_STATE_GUNOPEN,IhOvpBPq
CHARGER_STATE_IDLE,fPuEcXas
CHARGER_STATE_INSDET,YDkfcehc
CHARGER_STATE_INS_DISCHARGE,agzUgTZB
CHARGER_STATE_MOD_SWITCH,KgzhJaLx
CHARGER_STATE_PRE_CHARGE,GIcLYCzI
CHARGER_STATE_STARTFAULT,DXOmTGqn
CHARGER_STATE_STOP,TfJrvZTh
CHARGER_STATE_WAIT_BROAA,TVIYwPhF
CHARGE_START_LIMIT_BUSY,kOXONCjT
CHARGE_START_LIMIT_DISCONNECT,DrQvmznp
CHARGE_START_LIMIT_FAULT,jXayrCFp
CHARGE_START_LIMIT_MULTING,dgWyahgI
CHARGE_START_LIMIT_NULL,XeCmCbru
CHARGING,ILAUyTEQ
CHARGING_BMSP,tVqOxIYj
CHARGING_INSU,oDNxtFCg
CHARGING_METER,aIHvDzlY
CHARGING_MODADDR,LHaVbvVy
CHARGING_OLDCHECK,WxtZtQZW
CHARGING_VOLCALI,syfOkNMW
CHARGING_VOLCALI_OFF,PVOLVXbt
CHARG_OVER,zSVISPNy
CHECK_LIST_OBJ_SIZE_MAX,sFJfHiRx
CH_BIT,WxorUuqS
CH_BIT_GET,AoGBCpcP
CH_BIT_RST,tTVnnKxU
CH_BIT_SET,GKVKzasr
CK_BMS_CAN_ADDR,OkcMZJft
CK_CHARGER_CAN_ADDR,fvhrwavJ
CTRL_ACCONT,KcMACtFF
CTRL_ACMOD_Contrl_handle,wrUOxjFX
CTRL_ACMOD_Contrl_state,kwSJOvWz
CTRL_ACMOD_Handle,btjdZLkV
CTRL_ACMOD_init,qGYxACya
CTRL_ACSTATE,fvnKIiFv
CTRL_BMS_12V24,goVRrzyy
CTRL_BMS_CAN,yXVFayzB
CTRL_BMS_V,AviunnzK
CTRL_DCCONT,KgENzjdK
CTRL_FAN,eLDRpjSn
CTRL_GFD,SLtzvHJm
CTRL_GUNLOCK,QyKRLVlw
CTRL_KEY_ON,gbUXyKYF
CTRL_LED,JBApOcBU
CTRL_MIDCONT,ZZbiobcV
CTRL_RSV,dALyFpck
CTRL_RSV0,lhnVEBWw
CTRL_RSV0_m2,RaXqhotG
CanFrameHeader,cBZaqdCM
CanHandlerData,dZOFcyKM
CanHeader,FYNBXfIA
CanLongFrame,pIVRWKuK
CanRxMsg,amKGrcjH
CanTxMsg,CgNdJRJb
CanTxRxList,mfIbtIvX
ChargerCheckPara,vJgfoFcO
ChargerCheckProcess,ngkeDBiE
ChargerCheckRecord,jaWwcSTM
ChargerCheckSubState,UXKtkaZT
ChargerCheckTime,TNElyrBZ
ChargerRecordHeadInfo,AonURzrM
ChargerSaveData,hHpFCOCJ
ChargerSaveEnergyData,vZLldtXx
ComFifoStruct,ktzJaVil
CreateDir,yiQZUmfj
DATA_TYPE,OxgHiljJ
DATA_TYPE_BIGINT16U,YXXpTgIX
DATA_TYPE_BIGINT32U,cCNpOsvc
DATA_TYPE_CHAR,BdwLPMZX
DATA_TYPE_FLOAT,DbKLUpHC
DATA_TYPE_INT,liEcGtve
DATA_TYPE_INT16S,waKGHPix
DATA_TYPE_INT16U,iXFkHfpk
DATA_TYPE_UCHAR,zAWMIhbF
DCHARGER_VERSION,fAmtQsqV
DCHARGER_VERSION_BRANCH,WXCIdtIk
DECTOHEX,lkeZohlF
DELAY_PROJECT_FASTSLOW,zpUGnkPP
DELAY_PROJECT_GH_DUI,KzsRoCFI
DELAY_PROJECT_GH_TWOGUN,RXHUqXCg
DELETE_USB,qMYCrEwd
DISPLAYDevice,smSpRdEp
DISPLAYDeviceManager,XBshnptu
DLT645_DATA_ADD,CtVENhwt
DLT645_DATA_DEC,QnYxJNdv
DLT645_DATA_TYPE,mHmRhJpB
DLT645_DI_READ_ACTIVE_ENERGY,ZkUpHKCY
DLT645_DI_READ_ACTIVE_ENERGY_INDEX,cVWVFKfm
DLT645_DI_READ_ACTIVE_ENERGY_WSD,jkmIyeEA
DLT645_DI_READ_A_CURRENT,uVvPFiYo
DLT645_DI_READ_A_CURRENT_INDEX,BedTpnpv
DLT645_DI_READ_A_VOLTAGE,WAfSMuHv
DLT645_DI_READ_A_VOLTAGE_INDEX,yHYTGaoh
DLT645_FRAME_END_CHAR,pfJerOXu
DLT645_FRAME_START_CHAR,XVmKpTll
DLT645_SYNC_CHAR,VxLWBuNm
DSTADDR,WSpJIJIu
DSTADDRL,jiqtOZyY
DTL645_CMD_NUM,AnCIzEZI
DWIN_CONTROL_REG_READ,KaKKpLyP
DWIN_CTL_PIC_ID,pYcYsgre
DWIN_CTL_VERSION,DbhvXhtI
DWIN_DATA_REG_READ,BrSarhZj
DWIN_SYNC1,ugzQYeUx
DWIN_SYNC2,ygyeMGLC
DcCont_In1,XzraMEQA
DcCont_In2,VXqqavLB
Debug1,zrnIWefI
Debug2,SUwYSpoO
Dlt6452007Data,pulpoKUh
Dlt6452007Frame,ZaiYCwoZ
Dlt6452007Struct,psfoZaMz
DwinComData,VXalYipI
DwinDeviceData,uJvDzcNl
DwinFrame,BhtgcZsg
ECfgChargReboot,QzkFufWY
ECfgINTBasic,wEOacfGA
ECfgOperateType,FCeZuGbE
ECfgSaveOrNot,UzPjJKBE
ECfgSendOrNot,ZAvUuzZk
ECmdSysToSys,ONwbjrFq
EKeyType,McwOiqyJ
ENUM_ALARM_STOP,CRjDaJUI
ENUM_ALARM_TYPE,hVVoMjic
ENUM_BMS_TYPE,lQNnEdNN
ENUM_BOARD_ADDR,djXfprfN
ENUM_CCU_VERSION,GRaqVQGd
ENUM_CHARGER_START_RESULT,dIbMWPJH
ENUM_CHARGER_START_TYPE,edgyZQwz
ENUM_DEBUG1,TfAOQvdj
ENUM_DLT_645_DI_READ,acNWKMhR
ENUM_FLASH_MANAGE,qzJkoBkV
ENUM_GUN_NO_BACK_0,TnnTWYZi
ENUM_GUN_NO_BACK_2,CTqSbAwH
ENUM_GUN_TYPE,BSTFDiOp
ENUM_GUN_TYPE0,AXyOUVJf
ENUM_GUN_TYPE2,dWOpIcXe
ENUM_GUN_TYPE3,SuUbkGGk
ENUM_INPUT_BACK,buDFRecA
ENUM_LOADTYPE,BOGhIPyG
ENUM_METER_TYPE,UbcCxDrr
ENUM_MODSTALL,FgExvXqw
ENUM_MODULETYPE,BnuebekV
ENUM_MOD_UPDATE,yBGmidNc
ENUM_MULTI_STEP,HTAomIgG
ENUM_OUPUT_CONTROL,CzdMOvfK
ENUM_OWM_RECORD,TEFyKJwg
ENUM_PILE_TYPE,xYNYzMeq
ENUM_PROJECTTYPE,LUsXNtGg
ENUM_RSVIOTYPE,ADynqTfx
ENUM_SYS_ASSEMBLED,ShdbyVBi
ENUM_SYS_CHARGER_STATE,mPWXoduW
ENUM_SYS_DATA_CMD,CCpMKbQJ
ENUM_SYS_DEBUG_BIT,ZgYuEahe
ENUM_SYS_DISTRIBUTED,yiQDgwKN
ENUM_SYS_INSDET_STATE,iKyYZBBe
ENUM_SYS_STRING,QviBSuRU
ENUM_SYS_TYPE,QQZOthdZ
ENUM_TCU_UPDATE,DuyUOjNX
ENUM_UDISK_STEP,AjXbnrWo
ENUM_WORKMODE,EdJiEWWW
EParamType,tLJdQAwx
ERROR_DWIN_FRAME,oZmYXlya
ERROR_STAGE,DROxMsIF
ERecordCommonEventIndex,XfpsMgWP
ERecordHeadCommonType,KzPSdhxl
ESysLanguage,FSRjgRAk
EVENT_ADD,NKjaCwPI
EVENT_CHK,OaHYYyXI
EVENT_CLR,KMAuhunO
EVENT_SET,BLgjgzTG
EVarType,eKhfKfhX
EndPower,fCWVRdtG
EndTime,yQwCaNCL
FLASH_ADRR_USB_CHECK,CtnjIfQZ
FLASH_SECTOR_BMS_DATA1,aztjWdcA
FLASH_SECTOR_POWER_DATA1,TzPiPeqM
FROM_BCD,VEeUrxmp
FlashID,SUWEKANR
GB_BMS_CAN_ADDR,yVxjJvWV
GB_BMS_PF_BCL,wCxdmPoh
GB_BMS_PF_BCP,JavxdxXk
GB_BMS_PF_BCS,NCwSjHmo
GB_BMS_PF_BEM,trBhfcjK
GB_BMS_PF_BHM,nsqGRINW
GB_BMS_PF_BRM,QOvUsnni
GB_BMS_PF_BRO,mTuVOOzW
GB_BMS_PF_BSD,INJollcI
GB_BMS_PF_BSM,EZPRcPcx
GB_BMS_PF_BST,rRmrpocI
GB_BMS_PF_CCS,svSkgjph
GB_BMS_PF_CEM,LTFLHfBz
GB_BMS_PF_CML,zxWbKZGk
GB_BMS_PF_CRM,KpcPFWDP
GB_BMS_PF_CRO,KMxmYJYE
GB_BMS_PF_CSD,MooeqRDz
GB_BMS_PF_CST,dKBBaVGs
GB_BMS_PF_CTS,wfTJuDyu
GB_CHARGER_CAN_ADDR,fzGzpTou
GB_CH_PF_CCM,aHIQLDQT
GB_CH_PF_CHM,iJbICWfy
GET_BOARD_VERSION,ypEJZOmQ
GFDNegVdc,FnnHQGwZ
GFDNegVdc2,CVRcrCJU
GFDPosVdc,gDLfzlLN
GFDPosVdc2,qJfQhpYg
GFDVmod,eprVgnKC
GH_TWOGUN_GUN_NUM,QXMlebJU
GH_TWOGUN_MAX_GROUP,yfIxyuSP
GUN_MAX_CURR,aPiNrLwx
GhModeTwoGunData,RyQBWkih
GroupEn,rUhMIuci
GunBack,OvKRygTm
GunLock,LiPOMxHh
GunUnLock,ZZqBjXEV
HAL_GPIO_ReadPin,edPAPkIL
HAL_GPIO_WritePin,ZMHBvLJt
HEXTOBCD,rHAOHBvR
IDLE_CLEAR,dntVYTPB
IDLE_ERR,rUrAHxeY
IDLE_OVER,YbfuLOfU
IDLE_TEMP,iaKstpXb
IDLE_VOL,IsltoxtO
IGunCali,ypgLQSCT
IGunCaliZero,FIlDmfXr
INFO_ALARM,hvrHuoVY
INFO_LOG,fiFQUMlK
INSDET_STATE_CALCULATE,roqfLSux
INSDET_STATE_DISCHARGE,KYSUhXGS
INSDET_STATE_DISCHARGE_DELAY,CTxsFvqt
INSDET_STATE_GB15,ZMWBoHSa
INSDET_STATE_IDLE,HUBDuQmq
INSDET_STATE_INS1,mPFKPoRv
INSDET_STATE_INS2,sWVeNnki
INSDET_STATE_MULTI,gWEdewyK
INSDET_STATE_OVER,wbukPOXR
INSDET_STATE_START,yfbqWKbG
INSU_EDL,lxlGfHBZ
INSU_NULL,RJbbnZoA
INSU_OVER,ulXOvHkD
INSU_STA,VszmWjxQ
IN_UPDATE_ERR,MaZniuiX
IWDG_feed,UChhTcYR
IndexNow,bHVRfKPY
InsResNeg,YkxNmwwD
InsResPos,MnlJnStg
InsVolNeg_Y0,OrDgoyLW
InsVolNeg_Y1,JAmPvjPi
InsVolPos_X0,AghNEBpw
InsVolPos_X1,biTlXJPY
J5_COM_ADDR,HTQlWSbM
J5_COM_MY_ADDR,GMHbJVlP
J5_ver,WxRoYLxR
KEY_MODULE_ALARM,TaQJzVzB
KEY_MODULE_A_JUST,lKZxhXfg
KEY_MODULE_A_LOSE,FcpJmUOf
KEY_MODULE_B_JUST,dBcVJFIT
KEY_MODULE_B_LOSE,NMKVOZjg
KEY_MODULE_STATE,UjwXRlNX
K_CAN_FRAME_BCL_10_START_INDEX,bXORQiXX
K_CAN_FRAME_BCM_41_START_INDEX,xwuBffkd
K_CAN_FRAME_BCP_06_START_INDEX,cfKJcKcK
K_CAN_FRAME_BCS_11_START_INDEX,PXJEfKri
K_CAN_FRAME_BEM_1E_START_INDEX,hWuiJWOg
K_CAN_FRAME_BHM_27_START_INDEX,vnGnQHQs
K_CAN_FRAME_BMT_16_START_INDEX,wGJwHlKF
K_CAN_FRAME_BMV_15_START_INDEX,BsqjtgCB
K_CAN_FRAME_BRO_09_START_INDEX,BuiCaKzx
K_CAN_FRAME_BSD_1C_START_INDEX,Zxktublv
K_CAN_FRAME_BSM_13_START_INDEX,qDBsBtCU
K_CAN_FRAME_BST_19_START_INDEX,tpRAvLWE
K_CAN_FRAME_LEN_END,GjHqEpbC
LED_LOGIC_V6,OdfSKHXt
LED_LOGIC_V7,bhLOlDhP
LoadType,zRxzELNk
MAX_CHARGER_CURRENT_OFFSETT_GB,dxlipaqt
MAX_CHARGER_RECORD_NUM,UzcjdGqI
MCU_BMS_frame_handle,KAizreEG
MEM_ADDR,GZKGNwQA
METER_CAL,iPMgfQmg
METER_OVER,FAQuNekR
METER_SUM,ifLythXd
MODSTALL_HIGH,rEKYKESs
MODSTALL_LOW,KThTtQBD
MOD_MAX_ADDR,uOQPTLDD
MOD_ONLINE,LSzRwfMF
MOD_ONLINE_MESSAGE,TDlTdEGq
MOD_START_CNT,ISmvISdN
MOD_TYPE_1KV_20K,tjEOqbPT
MOD_TYPE_750_20K,gFrkvIcn
MOD_TYPE_K2C,dKfIFSKP
MOD_TYPE_K2C_DEC,VzCqhnqF
MOD_TYPE_K3B,NGKXJktR
MOD_TYPE_K3B_1KV_20KW,GcLlhMFR
MOD_TYPE_K3B_20KW,ZCbxEKwD
MOD_TYPE_K3B_20KW_MINI,NXXjTPyX
MOD_TYPE_K3B_40KW,nmMucUbq
MOD_UPDATE_CLEAR,CpndmLOz
MOD_UPDATE_ERASE,GrBnunJC
MOD_UPDATE_FAIL,RKCHjPTX
MOD_UPDATE_HANDSHAKE,nKuMtpxA
MOD_UPDATE_IDLE,IyFdxhbm
MOD_UPDATE_OVER,IXqiqrAX
MOD_UPDATE_TRANS,EwJVIzZp
MOD_UPDATE_TRANSOVER,nFUHeCjW
MOD_UPDATE_WAIT_ACCONT,IsPephNV
MOD_UP_FAULT,ltwhZphK
MULTI_STEP_CHARGE,EuMFlDqn
MULTI_STEP_END,uDVnDfne
MULTI_STEP_IDLE,iFZCnKZC
MULTI_STEP_SOFT,FahfhiBt
MULTI_STEP_START,ImDFKDDH
MULTI_STEP_STOP,GkJOhkyC
MULTI_VICE_GUN_OFF_DELAY,vkZSRruf
MX_FREERTOS_Init,XMsBeEDh
MeterBegain_B,eZFobQqL
MeterBegain_C,aUSjznLH
MeterCmdStruct,ceYFgWJV
MeterData,NWmvyIrF
MeterDlt_B,wKJKcLiI
MeterDlt_C,ALIQYPrH
MeterEnd_B,VgRidXvh
MeterEnd_C,lAHcopXV
MidCont_In,tkestcPr
ModAdr,ycEGLxyp
ModDemand_1000x,iTcVAkiS
ModDemand_eff,OHcGuXlH
ModMegg,TyoZtInA
ModOnOffManage,serhyjYf
ModOutCurrent,nNEllNHz
ModOutCurrentLimit,mtFqqLSQ
ModVol_300V,BXCbrPml
ModVol_600V,LFRlzjug
ModVol_700V,CsahGarj
ModVoltAbsCnt,rSLVtgIV
ModVoltDelayCnt,DsglBcTb
ModVoltDelayCnt2,CPRwVFjZ
ModVolt_10x,qAQUTGXB
MyFile,ewEbTKsZ
NRMP2U,VnUPvrIs
NVIC_SystemReset,dntgnbAr
OLDCHECK_OVER,YLlYNMlr
OLDCHECK_START,lMjBprKT
ONE_PAGE_ENTRY_NUMS,FZwppDAo
OS_TASK_ERR,WTfeYWgO
OUT_ALARM_RECORD_ERR,HPGDbDeQ
OUT_BMS_CURVE_ERR,fCzUzgMh
OUT_BMS_RECORD_ERR,vAkCdYVr
OUT_CHARGE_RECORD_ERR,YNCnbGmh
OUT_CONFIG_ERR,BFJGOnXt
OUT_LOG_RECORD_ERR,tZcpcEUH
OUT_OWN_RECORD_ERR,emxJUpru
OUT_RT_ERR,HFzRMQJw
OWN_RECORD_NONE,LFiHvlMF
PCanFrame,OSUdjqef
PF16_Fast,DwecLkIR
PF40_CHPILEM1BAK1,uCaqSuhD
PF41_CHPILEM1BAK2,PpsRYqIu
PF42_CHPILEM1BAK3,BBwhbOgx
PF43_CHPILEM1BAK4,JXApTZFb
PF44_CHPILEM1BAK5,zaUWDqpY
PF64_ASK_LEN,afJCXxiR
PRINT_DATA_HEX_BUF,RPJvwDNs
PROJECT_DlEPARALLEL,FEzJxSyr
PROJECT_FASTSLOW,sQaEyLGN
PROJECT_GH_TWOGUN,uYVljLsM
PROJECT_M2_AVG,MxjbNZnc
PROJECT_M2_SOFT,qRSFEIeF
PROJECT_M2_SOFT_6GUN,dDjuERXX
PROJECT_SIGPARALLEL,MMfWrDrP
PROJECT_STANDARD,HQkjMeZz
PROTNO,hPapIQkT
PT_BMS_CAN_ADDR,OMYaFydB
PT_BMS_PF_CCS,DLjhYOOF
PT_BMS_PF_CEM,AHeInNXY
PT_BMS_PF_CML,YWuqeKPp
PT_BMS_PF_CRM,NtGTxZnI
PT_BMS_PF_CRO,GObIxsLy
PT_BMS_PF_CSD,BUlYFVOh
PT_BMS_PF_CST,ddmKxmeN
PT_BMS_PF_CTS,tWbirGgp
PT_CHARGER_CAN_ADDR,uKCyCRWx
PageHandle,xJVeHCLN
PortVol_300V,xLounHSa
PortVol_600V,CkWziQEb
PortVol_700V,PLyDUMWc
PortVoltAbsCnt,lYpBdGHH
PortVoltInvCnt,BqsotZXo
Priority,uPfIIMXD
PrjLogic_Type4_DleParallel,BNEBqNVj
Project_M2Type,gdbdUFFU
Project_Type_Deal,vIpQMCFJ
Project_Type_Delay,KqDXkvji
Project_Type_Init,DmqYwMXV
RECORD_ALARM_BUFFER_MAX_SIZE,wuixkaRL
RECORD_ALARM_VALID_MAX_SIZE,gNtHbjVt
RECORD_EVENT_VALID_MAX_SIZE,ErHITRAE
RECORD_HEAD_COMMON_TYPE_ALARM,CRNXsNQZ
RECORD_HEAD_COMMON_TYPE_EVENT,nPxYDOYT
RECORD_HEAD_COMMON_TYPE_TOTAL,UHFCeeRx
RECV_BCL10,CKejRIyq
RECV_BCP06,LTuinPME
RECV_BCS11,NJIyvsxt
RECV_BRO09,UqzQBwgm
RECV_BSD1C,tHEIXhHE
RECV_BST19,ZfqwNwDA
RELAY_NUM,wDtWGOvp
RMP2U_GW,OtEioWdA
RecordIndex,VrPbbUQP
RecordObjEvent,CxszXMRv
Reserved5,YEtGRvIJ
Reserved6,uzLDrBQA
Reserved7,kWJqrmnY
RsvIn2,ADNVDBDu
RsvIn3,eFnnsKnj
RsvIn4,YAsJpUwh
RsvIn5,gkPhCkSO
RsvIn6,RDyhZtbJ
RsvIn7,ObxqQUJa
RsvIn8,KOalGdNm
SCADA_CAN_ADDR,nNdRrqoJ
SChargerVinCheck,FUDzAhuf
SENDTIMEOUT20_MS,DmHHahvd
SENDTIMEOUT250_MS,RRYlcgML
SENDTIMEOUT5000_MS,VuDRmxIC
SENDTIMEOUT500_MS,ptOeNyRl
SENDTIMEOUT50_MS,JogodhbZ
SENDTIMEOUT60000_MS,KBkwAsvI
SENDTIMEOUT8_MS,yKYEBqmT
SEND_CEM1F,SbToiEtT
SEND_CEM1F_END,NWcZeDFT
SEND_CHM,OeftDmTw
SEND_CRM01_00,icUWrsJx
SEND_CRM01_01,EqetzEmW
SEND_CRO0A,cPenvZoc
SEND_CSD1D,aoZKLayk
SEND_CST_TWICE,SCKOGQEi
SEND_CTS07,ezBOLrwI
SETTING,EFtzEPAQ
SHAKE_HAND,tKPjIJSU
SMALLER,ceMmemcx
SPI_Flash_Long_Write_Page_Sector_Erase,CKKXHrla
SPI_Flash_Read,velJlaOp
SPI_Flash_Write_Address,lEOKbjBj
SPI_Flash_Write_Page_offset_addr,iOPyCblv
SRAM_BASE_IAPMSG,SJszIOqF
SRCADDR,HWUhCIjy
SRCADDRL,VqJrHgVw
SRecordCommonEx,gnvATJJc
SRecordCommonExHead,fBuGKOqe
SRecordCommonObj,vgzLhdEo
SRecordHeadCommon,ucsUkVPn
SSysChargerParamsTbl,MdnsQzMN
START_BY_MAINGUN,PwdvJGcb
START_BY_TCU,JQymNAJA
START_BY_TCU_VIN,noEDcvxN
STOP_BAT_CIRCUIT,jSFyJwOi
